method,technique,question_id,question,hit@k,mrr,precision@k,ndcg@k,recall@k,avg_rank,miss,redundancy,diversity,boundary,token_cost,latency_ms,context_relevance,faithfulness,answer_correctness
paragraph,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6996,0.3004,0.8,934,1429.881,0.6675,0.607,0.5813
paragraph,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6996,0.3004,0.8,934,1339.212,0.6675,0.607,0.5813
paragraph,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7276,0.2724,0.6,938,4.87,0.6742,0.5289,0.5296
paragraph,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7164,0.2836,0.8,851,12.152,0.6677,0.5339,0.5296
paragraph,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7164,0.2836,0.8,851,1428.78,0.6677,0.5339,0.5296
paragraph,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7164,0.2836,0.8,851,1308.652,0.6677,0.5339,0.5296
paragraph,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6855,0.3145,0.8,1042,5.462,0.5755,0.4962,0.5708
paragraph,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.655,0.345,1.0,1252,11.182,0.5618,0.4737,0.5695
paragraph,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6588,0.3412,1.0,871,1444.577,0.5604,0.4844,0.5708
paragraph,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6588,0.3412,1.0,871,1301.313,0.5604,0.4844,0.5708
paragraph,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6711,0.3289,0.6,1313,4.734,0.5567,0.3595,0.4369
paragraph,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6708,0.3292,0.6,1210,9.177,0.5534,0.3555,0.4287
paragraph,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6826,0.3174,0.8,800,1424.78,0.5478,0.3582,0.4279
paragraph,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6826,0.3174,0.8,800,1354.861,0.5478,0.3582,0.4279
paragraph,dense,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.5855,0.4145,1.0,924,5.811,0.5664,0.3508,0.4022
paragraph,hybrid,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.5834,0.4166,1.0,1072,10.894,0.5532,0.3395,0.4082
paragraph,dense_rerank,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0,0.5741,0.4259,1.0,918,1304.729,0.5534,0.343,0.404
paragraph,hybrid_rerank,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0,0.5741,0.4259,1.0,918,1467.726,0.5534,0.343,0.404
paragraph,dense,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,1.0,3.0,0,0.6708,0.3292,0.8,412,5.682,0.6211,0.4622,0.5028
paragraph,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.0876,1.0,1.0,0,0.6343,0.3657,1.0,474,10.655,0.5906,0.4859,0.5028
paragraph,dense_rerank,9,What types of bank accounts are mentioned?,1,0.5,0.4,0.4982,0.3333,2.0,0,0.6557,0.3443,1.0,257,1419.718,0.6144,0.4741,0.49
paragraph,hybrid_rerank,9,What types of bank accounts are mentioned?,1,0.5,0.4,0.4982,0.3333,2.0,0,0.6557,0.3443,1.0,257,1374.686,0.6144,0.4741,0.49
recursive,dense,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7219,0.2781,0.2,861,6.169,0.6917,0.6059,0.589
recursive,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0,0.7057,0.2943,0.2,845,11.771,0.6894,0.6201,0.589
recursive,dense_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7195,0.2805,0.2,899,6.174,0.6813,0.6134,0.5869
recursive,hybrid_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0,0.7195,0.2805,0.2,899,11.774,0.6813,0.6134,0.5869
recursive,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7222,0.2778,0.2,824,4.967,0.6477,0.5061,0.5397
recursive,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6227,0.3773,0.4,707,10.208,0.6181,0.5046,0.5397
recursive,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6844,0.3156,0.2,778,4.972,0.6073,0.4896,0.5397
recursive,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6844,0.3156,0.2,778,10.21,0.6073,0.4896,0.5397
recursive,dense,2,What regulatory requirements are banks subject to?,0,0.0,0.0,0.0,0.0,,1,0.6605,0.3395,0.4,871,5.187,0.6664,0.4316,0.4499
recursive,hybrid,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6569,0.3431,0.4,847,9.551,0.6559,0.4395,0.4503
recursive,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0,0.7096,0.2904,0.2,769,5.192,0.6536,0.4661,0.4503
recursive,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0,0.7096,0.2904,0.2,769,9.552,0.6536,0.4661,0.4503
recursive,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7124,0.2876,0.2,842,5.374,0.6742,0.6122,0.5707
recursive,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7055,0.2945,0.2,809,11.104,0.6689,0.5934,0.5707
recursive,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6999,0.3001,0.2,721,5.38,0.6587,0.6009,0.5707
recursive,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6999,0.3001,0.2,721,11.105,0.6587,0.6009,0.5707
recursive,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7424,0.2576,0.2,915,4.668,0.6606,0.5665,0.5202
recursive,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6174,0.3826,0.4,933,10.003,0.6104,0.5494,0.5133
recursive,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6346,0.3654,0.6,770,4.674,0.6126,0.5427,0.5052
recursive,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6346,0.3654,0.6,770,10.005,0.6126,0.5427,0.5052
recursive,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.707,0.293,0.2,890,6.768,0.6575,0.5216,0.5367
recursive,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6777,0.3223,0.2,743,10.988,0.6561,0.502,0.5367
recursive,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7019,0.2981,0.4,762,6.773,0.6445,0.5089,0.5367
recursive,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7019,0.2981,0.4,762,10.99,0.6445,0.5089,0.5367
recursive,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6937,0.3063,0.2,940,4.375,0.5875,0.4925,0.5768
recursive,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6759,0.3241,0.4,843,9.474,0.5812,0.4952,0.5768
recursive,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6696,0.3304,0.6,793,4.379,0.5774,0.4977,0.5768
recursive,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6696,0.3304,0.6,793,9.475,0.5774,0.4977,0.5768
recursive,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6935,0.3065,0.4,881,5.727,0.5713,0.3417,0.4332
recursive,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6775,0.3225,0.4,928,10.982,0.5659,0.3527,0.4374
recursive,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6295,0.3705,0.6,795,5.733,0.5521,0.3552,0.4332
recursive,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6295,0.3705,0.6,795,10.984,0.5521,0.3552,0.4332
recursive,dense,8,Where did modern banking evolve?,1,1.0,0.4,0.6508,1.0,1.0,0,0.671,0.329,0.6,878,5.071,0.5962,0.3991,0.4104
recursive,hybrid,8,Where did modern banking evolve?,1,1.0,0.4,0.6508,1.0,1.0,0,0.6454,0.3546,0.6,852,8.905,0.5888,0.3601,0.4035
recursive,dense_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.601,0.399,0.8,739,5.076,0.5755,0.369,0.4143
recursive,hybrid_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.601,0.399,0.8,739,8.907,0.5755,0.369,0.4143
recursive,dense,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.6508,1.0,1.0,0,0.6838,0.3162,0.2,871,4.218,0.6751,0.4848,0.5143
recursive,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9675,1.0,1.0,0,0.6603,0.3397,0.2,860,8.241,0.6617,0.4802,0.5226
recursive,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9469,1.0,1.0,0,0.6806,0.3194,0.2,851,4.222,0.6667,0.4919,0.5226
recursive,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9469,1.0,1.0,0,0.6806,0.3194,0.2,851,8.242,0.6667,0.4919,0.5226
header,dense,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0,0.7136,0.2864,0.6,1866,3.131,0.6838,0.5796,0.5798
header,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0,0.641,0.359,1.0,2156,6.71,0.6673,0.5822,0.5895
header,dense_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,1,0.6654,0.3346,0.4,1275,1195.211,0.6464,0.6025,0.5936
header,hybrid_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,1,0.6654,0.3346,0.4,1275,1157.859,0.6464,0.6025,0.5936
header,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7202,0.2798,0.6,1656,4.273,0.6316,0.4749,0.491
header,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6486,0.3514,0.6,2536,8.172,0.6229,0.4825,0.4995
header,dense_rerank,1,What role do banks play in the economy?,1,0.5,0.2,0.3869,1.0,2.0,0,0.6731,0.3269,0.8,1179,1177.046,0.6122,0.4735,0.4989
header,hybrid_rerank,1,What role do banks play in the economy?,1,0.5,0.2,0.3869,1.0,2.0,0,0.6731,0.3269,0.8,1179,1158.407,0.6122,0.4735,0.4989
header,dense,2,What regulatory requirements are banks subject to?,1,0.25,0.2,0.2021,1.0,4.0,0,0.6787,0.3213,0.6,2440,4.519,0.6661,0.4289,0.4409
header,hybrid,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0,0.6502,0.3498,0.6,2416,9.083,0.6633,0.4353,0.4409
header,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6558,0.3442,0.8,1959,1185.777,0.658,0.4334,0.4409
header,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6558,0.3442,0.8,1959,1219.214,0.658,0.4334,0.4409
header,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6991,0.3009,0.4,1676,4.429,0.6657,0.5989,0.5619
header,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6753,0.3247,0.6,1344,8.664,0.6465,0.575,0.5619
header,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6809,0.3191,0.2,1449,1160.568,0.66,0.5934,0.5622
header,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6809,0.3191,0.2,1449,1168.433,0.66,0.5934,0.5622
header,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6825,0.3175,0.6,1593,4.726,0.6534,0.5378,0.5086
header,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.627,0.373,1.0,1390,9.169,0.6269,0.5395,0.5206
header,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6195,0.3805,0.8,1625,1138.684,0.6321,0.5169,0.5206
header,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6195,0.3805,0.8,1625,1161.76,0.6321,0.5169,0.5206
header,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6643,0.3357,0.4,1840,5.942,0.652,0.488,0.5109
header,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6871,0.3129,0.6,1532,11.575,0.652,0.5082,0.5109
header,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6715,0.3285,0.8,1001,1157.999,0.6268,0.5131,0.5109
header,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6715,0.3285,0.8,1001,1173.283,0.6268,0.5131,0.5109
header,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6612,0.3388,0.8,2187,4.911,0.5679,0.4659,0.5547
header,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6585,0.3415,0.6,1740,11.664,0.5627,0.4696,0.5547
header,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6514,0.3486,1.0,1150,1168.72,0.5524,0.4787,0.5592
header,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6514,0.3486,1.0,1150,1171.398,0.5524,0.4787,0.5592
header,dense,7,What components form bank capital?,1,1.0,0.4,0.6714,1.0,1.0,0,0.6505,0.3495,0.8,1348,5.5,0.5614,0.3568,0.4255
header,hybrid,7,What components form bank capital?,1,1.0,0.4,0.6714,1.0,1.0,0,0.6505,0.3495,0.8,1348,11.684,0.5614,0.3568,0.4255
header,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6731,0.3269,0.8,1179,1163.802,0.5557,0.3416,0.4181
header,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0,0.6731,0.3269,0.8,1179,1204.886,0.5557,0.3416,0.4181
header,dense,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.5862,0.4138,0.8,1285,5.264,0.5714,0.3344,0.4052
header,hybrid,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.602,0.398,0.8,1487,10.079,0.5617,0.3289,0.4052
header,dense_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.5862,0.4138,0.8,1285,1355.983,0.5714,0.3344,0.4052
header,hybrid_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0,0.5862,0.4138,0.8,1285,1504.064,0.5714,0.3344,0.4052
header,dense,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.149,1.0,1.0,0,0.6769,0.3231,0.8,1335,7.873,0.6348,0.4784,0.5135
header,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9675,1.0,1.0,0,0.6609,0.3391,0.6,1496,14.298,0.5988,0.4715,0.5135
header,dense_rerank,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,0.6667,3.0,0,0.6701,0.3299,0.6,1276,1485.776,0.6029,0.4534,0.5039
header,hybrid_rerank,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,0.6667,3.0,0,0.6701,0.3299,0.6,1276,1511.225,0.6029,0.4534,0.5039
semantic,dense,0,What does a bank do with deposits and loans?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7175,0.2825,0.8,5658,6.367,0.6535,0.5476,0.5862
semantic,hybrid,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7175,0.2825,0.8,5658,11.899,0.6535,0.5476,0.5862
semantic,dense_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,1,0.6006,0.3994,0.8,3363,440.246,0.599,0.5396,0.5624
semantic,hybrid_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,1,0.6006,0.3994,0.8,3363,498.611,0.599,0.5396,0.5624
semantic,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6903,0.3097,1.0,4614,7.293,0.6241,0.499,0.5123
semantic,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7175,0.2825,0.8,5658,13.351,0.6198,0.4963,0.5123
semantic,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6731,0.3269,0.8,3677,464.624,0.6009,0.4788,0.5108
semantic,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0,0.6731,0.3269,0.8,3677,463.751,0.6009,0.4788,0.5108
semantic,dense,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7175,0.2825,0.8,5658,6.902,0.6355,0.44,0.4491
semantic,hybrid,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7022,0.2978,0.8,5313,13.299,0.6157,0.4424,0.4491
semantic,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7018,0.2982,1.0,4575,444.05,0.6265,0.4416,0.4484
semantic,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.7018,0.2982,1.0,4575,441.873,0.6265,0.4416,0.4484
semantic,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.6864,0.3136,0.8,5081,6.576,0.6283,0.5469,0.5081
semantic,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0,0.7175,0.2825,0.8,5658,12.362,0.6248,0.5353,0.5081
semantic,dense_rerank,3,How do banks handle customer payments?,0,0.0,0.0,0.0,0.0,,1,0.6332,0.3668,0.8,4794,415.739,0.5863,0.509,0.5004
semantic,hybrid_rerank,3,How do banks handle customer payments?,0,0.0,0.0,0.0,0.0,,1,0.6332,0.3668,0.8,4794,451.117,0.5863,0.509,0.5004
semantic,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7175,0.2825,0.8,5658,6.769,0.6368,0.5261,0.4994
semantic,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0,0.7175,0.2825,0.8,5658,12.511,0.6368,0.5261,0.4994
semantic,dense_rerank,4,How is money created in banking systems?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6395,0.3605,1.0,3149,426.6,0.622,0.5136,0.4994
semantic,hybrid_rerank,4,How is money created in banking systems?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6395,0.3605,1.0,3149,454.577,0.622,0.5136,0.4994
semantic,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.7175,0.2825,0.8,5658,6.725,0.6241,0.495,0.47
semantic,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0,0.6903,0.3097,1.0,4614,11.987,0.6227,0.4864,0.4599
semantic,dense_rerank,5,How do banks earn profit from lending?,1,0.25,0.2,0.2641,0.5,4.0,0,0.6743,0.3257,0.8,4022,417.512,0.6199,0.4859,0.47
semantic,hybrid_rerank,5,How do banks earn profit from lending?,1,0.25,0.2,0.2641,0.5,4.0,0,0.6743,0.3257,0.8,4022,450.695,0.6199,0.4859,0.47
semantic,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7018,0.2982,1.0,4575,7.056,0.5506,0.4634,0.4968
semantic,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7175,0.2825,0.8,5658,13.034,0.5474,0.4711,0.5054
semantic,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7175,0.2825,0.8,5658,449.228,0.5474,0.4711,0.5054
semantic,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0,0.7175,0.2825,0.8,5658,445.01,0.5474,0.4711,0.5054
semantic,dense,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0,0.7175,0.2825,0.8,5658,7.146,0.5772,0.3753,0.4395
semantic,hybrid,7,What components form bank capital?,1,0.5,0.4,0.4982,1.0,2.0,0,0.6449,0.3551,0.8,3988,12.247,0.5595,0.3745,0.4369
semantic,dense_rerank,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0,0.7175,0.2825,0.8,5658,445.228,0.5772,0.3753,0.4395
semantic,hybrid_rerank,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0,0.7175,0.2825,0.8,5658,453.089,0.5772,0.3753,0.4395
semantic,dense,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6741,0.3259,1.0,3897,6.489,0.5899,0.3452,0.4035
semantic,hybrid,8,Where did modern banking evolve?,1,0.5,0.2,0.2961,1.0,2.0,0,0.6717,0.3283,1.0,2838,11.873,0.5868,0.3533,0.4035
semantic,dense_rerank,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6511,0.3489,1.0,2804,424.416,0.5732,0.352,0.4083
semantic,hybrid_rerank,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0,0.6511,0.3489,1.0,2804,443.343,0.5732,0.352,0.4083
semantic,dense,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0,0.692,0.308,0.8,5042,6.39,0.6111,0.4763,0.5218
semantic,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0,0.692,0.308,0.8,5042,13.25,0.6111,0.4763,0.5218
semantic,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,1.0,1.3836,1.0,1.0,0,0.7175,0.2825,0.8,5658,434.305,0.6068,0.4859,0.5221
semantic,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,1.0,1.3836,1.0,1.0,0,0.7175,0.2825,0.8,5658,430.648,0.6068,0.4859,0.5221
