method,technique,question_id,question,hit@k,mrr,precision@k,ndcg@k,recall@k,avg_rank,redundancy,diversity,boundary
paragraph,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6996,0.3004,0.8
paragraph,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6996,0.3004,0.8
paragraph,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7276,0.2724,0.6
paragraph,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7164,0.2836,0.8
paragraph,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7164,0.2836,0.8
paragraph,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7164,0.2836,0.8
paragraph,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6855,0.3145,0.8
paragraph,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.655,0.345,1.0
paragraph,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6588,0.3412,1.0
paragraph,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6588,0.3412,1.0
paragraph,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6711,0.3289,0.6
paragraph,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6708,0.3292,0.6
paragraph,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6826,0.3174,0.8
paragraph,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6826,0.3174,0.8
paragraph,dense,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5855,0.4145,1.0
paragraph,hybrid,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5834,0.4166,1.0
paragraph,dense_rerank,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0.5741,0.4259,1.0
paragraph,hybrid_rerank,8,Where did modern banking evolve?,1,0.2,0.2,0.1815,1.0,5.0,0.5741,0.4259,1.0
paragraph,dense,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,1.0,3.0,0.6708,0.3292,0.8
paragraph,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.0876,1.0,1.0,0.6343,0.3657,1.0
paragraph,dense_rerank,9,What types of bank accounts are mentioned?,1,0.5,0.4,0.4982,0.3333,2.0,0.6557,0.3443,1.0
paragraph,hybrid_rerank,9,What types of bank accounts are mentioned?,1,0.5,0.4,0.4982,0.3333,2.0,0.6557,0.3443,1.0
recursive,dense,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0.7219,0.2781,0.2
recursive,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0.7057,0.2943,0.2
recursive,dense_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0.7195,0.2805,0.2
recursive,hybrid_rerank,0,What does a bank do with deposits and loans?,1,0.2,0.2,0.1815,1.0,5.0,0.7195,0.2805,0.2
recursive,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.7222,0.2778,0.2
recursive,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6227,0.3773,0.4
recursive,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6844,0.3156,0.2
recursive,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6844,0.3156,0.2
recursive,dense,2,What regulatory requirements are banks subject to?,0,0.0,0.0,0.0,0.0,,0.6605,0.3395,0.4
recursive,hybrid,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.6569,0.3431,0.4
recursive,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0.7096,0.2904,0.2
recursive,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0.7096,0.2904,0.2
recursive,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7124,0.2876,0.2
recursive,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7055,0.2945,0.2
recursive,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6999,0.3001,0.2
recursive,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6999,0.3001,0.2
recursive,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.7424,0.2576,0.2
recursive,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6174,0.3826,0.4
recursive,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6346,0.3654,0.6
recursive,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6346,0.3654,0.6
recursive,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.707,0.293,0.2
recursive,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6777,0.3223,0.2
recursive,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7019,0.2981,0.4
recursive,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7019,0.2981,0.4
recursive,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6937,0.3063,0.2
recursive,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6759,0.3241,0.4
recursive,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6696,0.3304,0.6
recursive,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6696,0.3304,0.6
recursive,dense,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6935,0.3065,0.4
recursive,hybrid,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6775,0.3225,0.4
recursive,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6295,0.3705,0.6
recursive,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6295,0.3705,0.6
recursive,dense,8,Where did modern banking evolve?,1,1.0,0.4,0.6508,1.0,1.0,0.671,0.329,0.6
recursive,hybrid,8,Where did modern banking evolve?,1,1.0,0.4,0.6508,1.0,1.0,0.6454,0.3546,0.6
recursive,dense_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.601,0.399,0.8
recursive,hybrid_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.601,0.399,0.8
recursive,dense,9,What types of bank accounts are mentioned?,1,1.0,0.4,0.6508,1.0,1.0,0.6838,0.3162,0.2
recursive,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9675,1.0,1.0,0.6603,0.3397,0.2
recursive,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9469,1.0,1.0,0.6806,0.3194,0.2
recursive,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9469,1.0,1.0,0.6806,0.3194,0.2
header,dense,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0.7136,0.2864,0.6
header,hybrid,0,What does a bank do with deposits and loans?,1,0.25,0.2,0.2021,1.0,4.0,0.641,0.359,1.0
header,dense_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,0.6654,0.3346,0.4
header,hybrid_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,0.6654,0.3346,0.4
header,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.7202,0.2798,0.6
header,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6486,0.3514,0.6
header,dense_rerank,1,What role do banks play in the economy?,1,0.5,0.2,0.3869,1.0,2.0,0.6731,0.3269,0.8
header,hybrid_rerank,1,What role do banks play in the economy?,1,0.5,0.2,0.3869,1.0,2.0,0.6731,0.3269,0.8
header,dense,2,What regulatory requirements are banks subject to?,1,0.25,0.2,0.2021,1.0,4.0,0.6787,0.3213,0.6
header,hybrid,2,What regulatory requirements are banks subject to?,1,0.5,0.2,0.2961,1.0,2.0,0.6502,0.3498,0.6
header,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.6558,0.3442,0.8
header,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.6558,0.3442,0.8
header,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6991,0.3009,0.4
header,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6753,0.3247,0.6
header,dense_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6809,0.3191,0.2
header,hybrid_rerank,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6809,0.3191,0.2
header,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6825,0.3175,0.6
header,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.627,0.373,1.0
header,dense_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6195,0.3805,0.8
header,hybrid_rerank,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.6195,0.3805,0.8
header,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6643,0.3357,0.4
header,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6871,0.3129,0.6
header,dense_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6715,0.3285,0.8
header,hybrid_rerank,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6715,0.3285,0.8
header,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6612,0.3388,0.8
header,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6585,0.3415,0.6
header,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6514,0.3486,1.0
header,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.6514,0.3486,1.0
header,dense,7,What components form bank capital?,1,1.0,0.4,0.6714,1.0,1.0,0.6505,0.3495,0.8
header,hybrid,7,What components form bank capital?,1,1.0,0.4,0.6714,1.0,1.0,0.6505,0.3495,0.8
header,dense_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6731,0.3269,0.8
header,hybrid_rerank,7,What components form bank capital?,1,1.0,0.2,0.4693,1.0,1.0,0.6731,0.3269,0.8
header,dense,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5862,0.4138,0.8
header,hybrid,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.602,0.398,0.8
header,dense_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5862,0.4138,0.8
header,hybrid_rerank,8,Where did modern banking evolve?,1,1.0,0.2,0.4693,1.0,1.0,0.5862,0.4138,0.8
header,dense,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.149,1.0,1.0,0.6769,0.3231,0.8
header,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.6,0.9675,1.0,1.0,0.6609,0.3391,0.6
header,dense_rerank,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,0.6667,3.0,0.6701,0.3299,0.6
header,hybrid_rerank,9,What types of bank accounts are mentioned?,1,0.3333,0.4,0.4367,0.6667,3.0,0.6701,0.3299,0.6
semantic,dense,0,What does a bank do with deposits and loans?,1,1.0,0.2,0.4693,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid,0,What does a bank do with deposits and loans?,1,0.3333,0.2,0.2346,1.0,3.0,0.7175,0.2825,0.8
semantic,dense_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,0.6006,0.3994,0.8
semantic,hybrid_rerank,0,What does a bank do with deposits and loans?,0,0.0,0.0,0.0,0.0,,0.6006,0.3994,0.8
semantic,dense,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6903,0.3097,1.0
semantic,hybrid,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6731,0.3269,0.8
semantic,hybrid_rerank,1,What role do banks play in the economy?,1,1.0,0.2,0.6131,1.0,1.0,0.6731,0.3269,0.8
semantic,dense,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7175,0.2825,0.8
semantic,hybrid,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7022,0.2978,0.8
semantic,dense_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7018,0.2982,1.0
semantic,hybrid_rerank,2,What regulatory requirements are banks subject to?,1,0.3333,0.2,0.2346,1.0,3.0,0.7018,0.2982,1.0
semantic,dense,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.6864,0.3136,0.8
semantic,hybrid,3,How do banks handle customer payments?,1,1.0,0.2,0.4693,0.6667,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,3,How do banks handle customer payments?,0,0.0,0.0,0.0,0.0,,0.6332,0.3668,0.8
semantic,hybrid_rerank,3,How do banks handle customer payments?,0,0.0,0.0,0.0,0.0,,0.6332,0.3668,0.8
semantic,dense,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid,4,How is money created in banking systems?,1,1.0,0.2,0.4693,1.0,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,4,How is money created in banking systems?,1,0.3333,0.2,0.2346,1.0,3.0,0.6395,0.3605,1.0
semantic,hybrid_rerank,4,How is money created in banking systems?,1,0.3333,0.2,0.2346,1.0,3.0,0.6395,0.3605,1.0
semantic,dense,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.7175,0.2825,0.8
semantic,hybrid,5,How do banks earn profit from lending?,1,1.0,0.2,0.6131,0.5,1.0,0.6903,0.3097,1.0
semantic,dense_rerank,5,How do banks earn profit from lending?,1,0.25,0.2,0.2641,0.5,4.0,0.6743,0.3257,0.8
semantic,hybrid_rerank,5,How do banks earn profit from lending?,1,0.25,0.2,0.2641,0.5,4.0,0.6743,0.3257,0.8
semantic,dense,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7018,0.2982,1.0
semantic,hybrid,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,dense_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid_rerank,6,What conditions define liquidity risk in banking?,1,1.0,0.2,0.6131,1.0,1.0,0.7175,0.2825,0.8
semantic,dense,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0.7175,0.2825,0.8
semantic,hybrid,7,What components form bank capital?,1,0.5,0.4,0.4982,1.0,2.0,0.6449,0.3551,0.8
semantic,dense_rerank,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0.7175,0.2825,0.8
semantic,hybrid_rerank,7,What components form bank capital?,1,0.5,0.4,0.4776,1.0,2.0,0.7175,0.2825,0.8
semantic,dense,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0.6741,0.3259,1.0
semantic,hybrid,8,Where did modern banking evolve?,1,0.5,0.2,0.2961,1.0,2.0,0.6717,0.3283,1.0
semantic,dense_rerank,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0.6511,0.3489,1.0
semantic,hybrid_rerank,8,Where did modern banking evolve?,1,0.3333,0.2,0.2346,1.0,3.0,0.6511,0.3489,1.0
semantic,dense,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0.692,0.308,0.8
semantic,hybrid,9,What types of bank accounts are mentioned?,1,1.0,0.8,1.2021,1.0,1.0,0.692,0.308,0.8
semantic,dense_rerank,9,What types of bank accounts are mentioned?,1,1.0,1.0,1.3836,1.0,1.0,0.7175,0.2825,0.8
semantic,hybrid_rerank,9,What types of bank accounts are mentioned?,1,1.0,1.0,1.3836,1.0,1.0,0.7175,0.2825,0.8
